"prec","cellID_prec","raster_nr","link_prec"
0,422602,733,"2012/RW2017.002_201207.tar.gz"
0,422604,733,"2012/RW2017.002_201207.tar.gz"
0,422606,733,"2012/RW2017.002_201207.tar.gz"
0,422607,733,"2012/RW2017.002_201207.tar.gz"
0,423929,733,"2012/RW2017.002_201207.tar.gz"
0,423930,733,"2012/RW2017.002_201207.tar.gz"
0,423932,733,"2012/RW2017.002_201207.tar.gz"
0,423928,733,"2012/RW2017.002_201207.tar.gz"
0,423931,733,"2012/RW2017.002_201207.tar.gz"
0,423933,733,"2012/RW2017.002_201207.tar.gz"
0,425254,733,"2012/RW2017.002_201207.tar.gz"
0,425256,733,"2012/RW2017.002_201207.tar.gz"
0,425258,733,"2012/RW2017.002_201207.tar.gz"
0,425260,733,"2012/RW2017.002_201207.tar.gz"
0,453102,733,"2012/RW2017.002_201207.tar.gz"
0,453103,733,"2012/RW2017.002_201207.tar.gz"
0,453105,733,"2012/RW2017.002_201207.tar.gz"
0,453107,733,"2012/RW2017.002_201207.tar.gz"
0,454429,733,"2012/RW2017.002_201207.tar.gz"
0,454430,733,"2012/RW2017.002_201207.tar.gz"
0,454431,733,"2012/RW2017.002_201207.tar.gz"
0,454433,733,"2012/RW2017.002_201207.tar.gz"
0,455754,733,"2012/RW2017.002_201207.tar.gz"
0,455756,733,"2012/RW2017.002_201207.tar.gz"
0,457080,733,"2012/RW2017.002_201207.tar.gz"
0,457082,733,"2012/RW2017.002_201207.tar.gz"
0,457083,733,"2012/RW2017.002_201207.tar.gz"
0,457085,733,"2012/RW2017.002_201207.tar.gz"
0,422602,734,"2012/RW2017.002_201207.tar.gz"
0,422604,734,"2012/RW2017.002_201207.tar.gz"
0,422606,734,"2012/RW2017.002_201207.tar.gz"
0,422607,734,"2012/RW2017.002_201207.tar.gz"
0,423929,734,"2012/RW2017.002_201207.tar.gz"
0,423930,734,"2012/RW2017.002_201207.tar.gz"
0,423932,734,"2012/RW2017.002_201207.tar.gz"
0,423928,734,"2012/RW2017.002_201207.tar.gz"
0,423931,734,"2012/RW2017.002_201207.tar.gz"
0,423933,734,"2012/RW2017.002_201207.tar.gz"
0,425254,734,"2012/RW2017.002_201207.tar.gz"
0,425256,734,"2012/RW2017.002_201207.tar.gz"
0,425258,734,"2012/RW2017.002_201207.tar.gz"
0,425260,734,"2012/RW2017.002_201207.tar.gz"
0,453102,734,"2012/RW2017.002_201207.tar.gz"
0,453103,734,"2012/RW2017.002_201207.tar.gz"
0,453105,734,"2012/RW2017.002_201207.tar.gz"
0,453107,734,"2012/RW2017.002_201207.tar.gz"
0,454429,734,"2012/RW2017.002_201207.tar.gz"
0,454430,734,"2012/RW2017.002_201207.tar.gz"
0,454431,734,"2012/RW2017.002_201207.tar.gz"
0,454433,734,"2012/RW2017.002_201207.tar.gz"
0,455754,734,"2012/RW2017.002_201207.tar.gz"
0,455756,734,"2012/RW2017.002_201207.tar.gz"
0,457080,734,"2012/RW2017.002_201207.tar.gz"
0,457082,734,"2012/RW2017.002_201207.tar.gz"
0,457083,734,"2012/RW2017.002_201207.tar.gz"
0,457085,734,"2012/RW2017.002_201207.tar.gz"
0,422602,735,"2012/RW2017.002_201207.tar.gz"
0,422604,735,"2012/RW2017.002_201207.tar.gz"
0,422606,735,"2012/RW2017.002_201207.tar.gz"
0,422607,735,"2012/RW2017.002_201207.tar.gz"
0,423929,735,"2012/RW2017.002_201207.tar.gz"
0,423930,735,"2012/RW2017.002_201207.tar.gz"
0,423932,735,"2012/RW2017.002_201207.tar.gz"
0,423928,735,"2012/RW2017.002_201207.tar.gz"
0,423931,735,"2012/RW2017.002_201207.tar.gz"
0,423933,735,"2012/RW2017.002_201207.tar.gz"
0,425254,735,"2012/RW2017.002_201207.tar.gz"
0,425256,735,"2012/RW2017.002_201207.tar.gz"
0,425258,735,"2012/RW2017.002_201207.tar.gz"
0,425260,735,"2012/RW2017.002_201207.tar.gz"
0,453102,735,"2012/RW2017.002_201207.tar.gz"
0,453103,735,"2012/RW2017.002_201207.tar.gz"
0,453105,735,"2012/RW2017.002_201207.tar.gz"
0,453107,735,"2012/RW2017.002_201207.tar.gz"
0,454429,735,"2012/RW2017.002_201207.tar.gz"
0,454430,735,"2012/RW2017.002_201207.tar.gz"
0,454431,735,"2012/RW2017.002_201207.tar.gz"
0,454433,735,"2012/RW2017.002_201207.tar.gz"
0,455754,735,"2012/RW2017.002_201207.tar.gz"
0,455756,735,"2012/RW2017.002_201207.tar.gz"
0,457080,735,"2012/RW2017.002_201207.tar.gz"
0,457082,735,"2012/RW2017.002_201207.tar.gz"
0,457083,735,"2012/RW2017.002_201207.tar.gz"
0,457085,735,"2012/RW2017.002_201207.tar.gz"
0,422602,736,"2012/RW2017.002_201207.tar.gz"
0,422604,736,"2012/RW2017.002_201207.tar.gz"
0,422606,736,"2012/RW2017.002_201207.tar.gz"
0,422607,736,"2012/RW2017.002_201207.tar.gz"
0,423929,736,"2012/RW2017.002_201207.tar.gz"
0,423930,736,"2012/RW2017.002_201207.tar.gz"
0,423932,736,"2012/RW2017.002_201207.tar.gz"
0,423928,736,"2012/RW2017.002_201207.tar.gz"
0,423931,736,"2012/RW2017.002_201207.tar.gz"
0,423933,736,"2012/RW2017.002_201207.tar.gz"
0,425254,736,"2012/RW2017.002_201207.tar.gz"
0,425256,736,"2012/RW2017.002_201207.tar.gz"
0,425258,736,"2012/RW2017.002_201207.tar.gz"
0,425260,736,"2012/RW2017.002_201207.tar.gz"
0,453102,736,"2012/RW2017.002_201207.tar.gz"
0,453103,736,"2012/RW2017.002_201207.tar.gz"
0,453105,736,"2012/RW2017.002_201207.tar.gz"
0,453107,736,"2012/RW2017.002_201207.tar.gz"
0,454429,736,"2012/RW2017.002_201207.tar.gz"
0,454430,736,"2012/RW2017.002_201207.tar.gz"
0,454431,736,"2012/RW2017.002_201207.tar.gz"
0,454433,736,"2012/RW2017.002_201207.tar.gz"
0,455754,736,"2012/RW2017.002_201207.tar.gz"
0,455756,736,"2012/RW2017.002_201207.tar.gz"
0,457080,736,"2012/RW2017.002_201207.tar.gz"
0,457082,736,"2012/RW2017.002_201207.tar.gz"
0,457083,736,"2012/RW2017.002_201207.tar.gz"
0,457085,736,"2012/RW2017.002_201207.tar.gz"
0,422602,737,"2012/RW2017.002_201207.tar.gz"
0,422604,737,"2012/RW2017.002_201207.tar.gz"
0,422606,737,"2012/RW2017.002_201207.tar.gz"
0,422607,737,"2012/RW2017.002_201207.tar.gz"
0,423929,737,"2012/RW2017.002_201207.tar.gz"
0,423930,737,"2012/RW2017.002_201207.tar.gz"
0,423932,737,"2012/RW2017.002_201207.tar.gz"
0,423928,737,"2012/RW2017.002_201207.tar.gz"
0,423931,737,"2012/RW2017.002_201207.tar.gz"
0,423933,737,"2012/RW2017.002_201207.tar.gz"
0,425254,737,"2012/RW2017.002_201207.tar.gz"
0,425256,737,"2012/RW2017.002_201207.tar.gz"
0,425258,737,"2012/RW2017.002_201207.tar.gz"
0,425260,737,"2012/RW2017.002_201207.tar.gz"
0,453102,737,"2012/RW2017.002_201207.tar.gz"
0,453103,737,"2012/RW2017.002_201207.tar.gz"
0,453105,737,"2012/RW2017.002_201207.tar.gz"
0,453107,737,"2012/RW2017.002_201207.tar.gz"
0,454429,737,"2012/RW2017.002_201207.tar.gz"
0,454430,737,"2012/RW2017.002_201207.tar.gz"
0,454431,737,"2012/RW2017.002_201207.tar.gz"
0,454433,737,"2012/RW2017.002_201207.tar.gz"
0,455754,737,"2012/RW2017.002_201207.tar.gz"
0,455756,737,"2012/RW2017.002_201207.tar.gz"
0,457080,737,"2012/RW2017.002_201207.tar.gz"
0,457082,737,"2012/RW2017.002_201207.tar.gz"
0,457083,737,"2012/RW2017.002_201207.tar.gz"
0,457085,737,"2012/RW2017.002_201207.tar.gz"
0,422602,738,"2012/RW2017.002_201207.tar.gz"
0,422604,738,"2012/RW2017.002_201207.tar.gz"
0,422606,738,"2012/RW2017.002_201207.tar.gz"
0,422607,738,"2012/RW2017.002_201207.tar.gz"
0,423929,738,"2012/RW2017.002_201207.tar.gz"
0,423930,738,"2012/RW2017.002_201207.tar.gz"
0,423932,738,"2012/RW2017.002_201207.tar.gz"
0,423928,738,"2012/RW2017.002_201207.tar.gz"
0,423931,738,"2012/RW2017.002_201207.tar.gz"
0,423933,738,"2012/RW2017.002_201207.tar.gz"
0,425254,738,"2012/RW2017.002_201207.tar.gz"
0,425256,738,"2012/RW2017.002_201207.tar.gz"
0,425258,738,"2012/RW2017.002_201207.tar.gz"
0,425260,738,"2012/RW2017.002_201207.tar.gz"
0,453102,738,"2012/RW2017.002_201207.tar.gz"
0,453103,738,"2012/RW2017.002_201207.tar.gz"
0,453105,738,"2012/RW2017.002_201207.tar.gz"
0,453107,738,"2012/RW2017.002_201207.tar.gz"
0,454429,738,"2012/RW2017.002_201207.tar.gz"
0,454430,738,"2012/RW2017.002_201207.tar.gz"
0,454431,738,"2012/RW2017.002_201207.tar.gz"
0,454433,738,"2012/RW2017.002_201207.tar.gz"
0,455754,738,"2012/RW2017.002_201207.tar.gz"
0,455756,738,"2012/RW2017.002_201207.tar.gz"
0,457080,738,"2012/RW2017.002_201207.tar.gz"
0,457082,738,"2012/RW2017.002_201207.tar.gz"
0,457083,738,"2012/RW2017.002_201207.tar.gz"
0,457085,738,"2012/RW2017.002_201207.tar.gz"
0,422602,739,"2012/RW2017.002_201207.tar.gz"
0,422604,739,"2012/RW2017.002_201207.tar.gz"
0,422606,739,"2012/RW2017.002_201207.tar.gz"
0,422607,739,"2012/RW2017.002_201207.tar.gz"
0,423929,739,"2012/RW2017.002_201207.tar.gz"
0,423930,739,"2012/RW2017.002_201207.tar.gz"
0,423932,739,"2012/RW2017.002_201207.tar.gz"
0,423928,739,"2012/RW2017.002_201207.tar.gz"
0,423931,739,"2012/RW2017.002_201207.tar.gz"
0,423933,739,"2012/RW2017.002_201207.tar.gz"
0,425254,739,"2012/RW2017.002_201207.tar.gz"
0,425256,739,"2012/RW2017.002_201207.tar.gz"
0,425258,739,"2012/RW2017.002_201207.tar.gz"
0,425260,739,"2012/RW2017.002_201207.tar.gz"
0,453102,739,"2012/RW2017.002_201207.tar.gz"
0,453103,739,"2012/RW2017.002_201207.tar.gz"
0,453105,739,"2012/RW2017.002_201207.tar.gz"
0,453107,739,"2012/RW2017.002_201207.tar.gz"
0,454429,739,"2012/RW2017.002_201207.tar.gz"
0,454430,739,"2012/RW2017.002_201207.tar.gz"
0,454431,739,"2012/RW2017.002_201207.tar.gz"
0,454433,739,"2012/RW2017.002_201207.tar.gz"
0,455754,739,"2012/RW2017.002_201207.tar.gz"
0,455756,739,"2012/RW2017.002_201207.tar.gz"
0,457080,739,"2012/RW2017.002_201207.tar.gz"
0,457082,739,"2012/RW2017.002_201207.tar.gz"
0,457083,739,"2012/RW2017.002_201207.tar.gz"
0,457085,739,"2012/RW2017.002_201207.tar.gz"
0,422602,740,"2012/RW2017.002_201207.tar.gz"
0,422604,740,"2012/RW2017.002_201207.tar.gz"
0,422606,740,"2012/RW2017.002_201207.tar.gz"
0,422607,740,"2012/RW2017.002_201207.tar.gz"
0,423929,740,"2012/RW2017.002_201207.tar.gz"
0,423930,740,"2012/RW2017.002_201207.tar.gz"
0,423932,740,"2012/RW2017.002_201207.tar.gz"
0,423928,740,"2012/RW2017.002_201207.tar.gz"
0,423931,740,"2012/RW2017.002_201207.tar.gz"
0,423933,740,"2012/RW2017.002_201207.tar.gz"
0,425254,740,"2012/RW2017.002_201207.tar.gz"
0,425256,740,"2012/RW2017.002_201207.tar.gz"
0,425258,740,"2012/RW2017.002_201207.tar.gz"
0,425260,740,"2012/RW2017.002_201207.tar.gz"
0,453102,740,"2012/RW2017.002_201207.tar.gz"
0,453103,740,"2012/RW2017.002_201207.tar.gz"
0,453105,740,"2012/RW2017.002_201207.tar.gz"
0,453107,740,"2012/RW2017.002_201207.tar.gz"
0,454429,740,"2012/RW2017.002_201207.tar.gz"
0,454430,740,"2012/RW2017.002_201207.tar.gz"
0,454431,740,"2012/RW2017.002_201207.tar.gz"
0,454433,740,"2012/RW2017.002_201207.tar.gz"
0,455754,740,"2012/RW2017.002_201207.tar.gz"
0,455756,740,"2012/RW2017.002_201207.tar.gz"
0,457080,740,"2012/RW2017.002_201207.tar.gz"
0,457082,740,"2012/RW2017.002_201207.tar.gz"
0,457083,740,"2012/RW2017.002_201207.tar.gz"
0,457085,740,"2012/RW2017.002_201207.tar.gz"
0,422602,741,"2012/RW2017.002_201207.tar.gz"
0,422604,741,"2012/RW2017.002_201207.tar.gz"
0,422606,741,"2012/RW2017.002_201207.tar.gz"
0,422607,741,"2012/RW2017.002_201207.tar.gz"
0,423929,741,"2012/RW2017.002_201207.tar.gz"
0,423930,741,"2012/RW2017.002_201207.tar.gz"
0,423932,741,"2012/RW2017.002_201207.tar.gz"
0,423928,741,"2012/RW2017.002_201207.tar.gz"
0,423931,741,"2012/RW2017.002_201207.tar.gz"
0,423933,741,"2012/RW2017.002_201207.tar.gz"
0,425254,741,"2012/RW2017.002_201207.tar.gz"
0,425256,741,"2012/RW2017.002_201207.tar.gz"
0,425258,741,"2012/RW2017.002_201207.tar.gz"
0,425260,741,"2012/RW2017.002_201207.tar.gz"
0,453102,741,"2012/RW2017.002_201207.tar.gz"
0,453103,741,"2012/RW2017.002_201207.tar.gz"
0,453105,741,"2012/RW2017.002_201207.tar.gz"
0,453107,741,"2012/RW2017.002_201207.tar.gz"
0,454429,741,"2012/RW2017.002_201207.tar.gz"
0,454430,741,"2012/RW2017.002_201207.tar.gz"
0,454431,741,"2012/RW2017.002_201207.tar.gz"
0,454433,741,"2012/RW2017.002_201207.tar.gz"
0,455754,741,"2012/RW2017.002_201207.tar.gz"
0,455756,741,"2012/RW2017.002_201207.tar.gz"
0,457080,741,"2012/RW2017.002_201207.tar.gz"
0,457082,741,"2012/RW2017.002_201207.tar.gz"
0,457083,741,"2012/RW2017.002_201207.tar.gz"
0,457085,741,"2012/RW2017.002_201207.tar.gz"
0,422602,742,"2012/RW2017.002_201207.tar.gz"
0,422604,742,"2012/RW2017.002_201207.tar.gz"
0,422606,742,"2012/RW2017.002_201207.tar.gz"
0,422607,742,"2012/RW2017.002_201207.tar.gz"
0,423929,742,"2012/RW2017.002_201207.tar.gz"
0,423930,742,"2012/RW2017.002_201207.tar.gz"
0,423932,742,"2012/RW2017.002_201207.tar.gz"
0,423928,742,"2012/RW2017.002_201207.tar.gz"
0,423931,742,"2012/RW2017.002_201207.tar.gz"
0,423933,742,"2012/RW2017.002_201207.tar.gz"
0,425254,742,"2012/RW2017.002_201207.tar.gz"
0,425256,742,"2012/RW2017.002_201207.tar.gz"
0,425258,742,"2012/RW2017.002_201207.tar.gz"
0,425260,742,"2012/RW2017.002_201207.tar.gz"
0,453102,742,"2012/RW2017.002_201207.tar.gz"
0,453103,742,"2012/RW2017.002_201207.tar.gz"
0,453105,742,"2012/RW2017.002_201207.tar.gz"
0,453107,742,"2012/RW2017.002_201207.tar.gz"
0,454429,742,"2012/RW2017.002_201207.tar.gz"
0,454430,742,"2012/RW2017.002_201207.tar.gz"
0,454431,742,"2012/RW2017.002_201207.tar.gz"
0,454433,742,"2012/RW2017.002_201207.tar.gz"
0,455754,742,"2012/RW2017.002_201207.tar.gz"
0,455756,742,"2012/RW2017.002_201207.tar.gz"
0,457080,742,"2012/RW2017.002_201207.tar.gz"
0,457082,742,"2012/RW2017.002_201207.tar.gz"
0,457083,742,"2012/RW2017.002_201207.tar.gz"
0,457085,742,"2012/RW2017.002_201207.tar.gz"
