"prec","cellID_prec","raster_nr","link_prec"
0,422602,37,"2010/RW2017.002_201005.tar.gz"
0,422604,37,"2010/RW2017.002_201005.tar.gz"
0,422606,37,"2010/RW2017.002_201005.tar.gz"
0,422607,37,"2010/RW2017.002_201005.tar.gz"
0,423929,37,"2010/RW2017.002_201005.tar.gz"
0,423930,37,"2010/RW2017.002_201005.tar.gz"
0,423932,37,"2010/RW2017.002_201005.tar.gz"
0,423928,37,"2010/RW2017.002_201005.tar.gz"
0,423931,37,"2010/RW2017.002_201005.tar.gz"
0,423933,37,"2010/RW2017.002_201005.tar.gz"
0,425254,37,"2010/RW2017.002_201005.tar.gz"
0,425256,37,"2010/RW2017.002_201005.tar.gz"
0,425258,37,"2010/RW2017.002_201005.tar.gz"
0,425260,37,"2010/RW2017.002_201005.tar.gz"
0,453102,37,"2010/RW2017.002_201005.tar.gz"
0,453103,37,"2010/RW2017.002_201005.tar.gz"
0,453105,37,"2010/RW2017.002_201005.tar.gz"
0,453107,37,"2010/RW2017.002_201005.tar.gz"
0,454429,37,"2010/RW2017.002_201005.tar.gz"
0,454430,37,"2010/RW2017.002_201005.tar.gz"
0,454431,37,"2010/RW2017.002_201005.tar.gz"
0,454433,37,"2010/RW2017.002_201005.tar.gz"
0,455754,37,"2010/RW2017.002_201005.tar.gz"
0,455756,37,"2010/RW2017.002_201005.tar.gz"
0,457080,37,"2010/RW2017.002_201005.tar.gz"
0,457082,37,"2010/RW2017.002_201005.tar.gz"
0,457083,37,"2010/RW2017.002_201005.tar.gz"
0,457085,37,"2010/RW2017.002_201005.tar.gz"
0,422602,38,"2010/RW2017.002_201005.tar.gz"
0,422604,38,"2010/RW2017.002_201005.tar.gz"
0,422606,38,"2010/RW2017.002_201005.tar.gz"
0,422607,38,"2010/RW2017.002_201005.tar.gz"
0,423929,38,"2010/RW2017.002_201005.tar.gz"
0,423930,38,"2010/RW2017.002_201005.tar.gz"
0,423932,38,"2010/RW2017.002_201005.tar.gz"
0,423928,38,"2010/RW2017.002_201005.tar.gz"
0,423931,38,"2010/RW2017.002_201005.tar.gz"
0,423933,38,"2010/RW2017.002_201005.tar.gz"
0,425254,38,"2010/RW2017.002_201005.tar.gz"
0,425256,38,"2010/RW2017.002_201005.tar.gz"
0,425258,38,"2010/RW2017.002_201005.tar.gz"
0,425260,38,"2010/RW2017.002_201005.tar.gz"
0,453102,38,"2010/RW2017.002_201005.tar.gz"
0,453103,38,"2010/RW2017.002_201005.tar.gz"
0,453105,38,"2010/RW2017.002_201005.tar.gz"
0,453107,38,"2010/RW2017.002_201005.tar.gz"
0,454429,38,"2010/RW2017.002_201005.tar.gz"
0,454430,38,"2010/RW2017.002_201005.tar.gz"
0,454431,38,"2010/RW2017.002_201005.tar.gz"
0,454433,38,"2010/RW2017.002_201005.tar.gz"
0,455754,38,"2010/RW2017.002_201005.tar.gz"
0,455756,38,"2010/RW2017.002_201005.tar.gz"
0,457080,38,"2010/RW2017.002_201005.tar.gz"
0,457082,38,"2010/RW2017.002_201005.tar.gz"
0,457083,38,"2010/RW2017.002_201005.tar.gz"
0,457085,38,"2010/RW2017.002_201005.tar.gz"
0,422602,39,"2010/RW2017.002_201005.tar.gz"
0,422604,39,"2010/RW2017.002_201005.tar.gz"
0,422606,39,"2010/RW2017.002_201005.tar.gz"
0,422607,39,"2010/RW2017.002_201005.tar.gz"
0,423929,39,"2010/RW2017.002_201005.tar.gz"
0,423930,39,"2010/RW2017.002_201005.tar.gz"
0,423932,39,"2010/RW2017.002_201005.tar.gz"
0,423928,39,"2010/RW2017.002_201005.tar.gz"
0,423931,39,"2010/RW2017.002_201005.tar.gz"
0,423933,39,"2010/RW2017.002_201005.tar.gz"
0,425254,39,"2010/RW2017.002_201005.tar.gz"
0,425256,39,"2010/RW2017.002_201005.tar.gz"
0,425258,39,"2010/RW2017.002_201005.tar.gz"
0,425260,39,"2010/RW2017.002_201005.tar.gz"
0,453102,39,"2010/RW2017.002_201005.tar.gz"
0,453103,39,"2010/RW2017.002_201005.tar.gz"
0,453105,39,"2010/RW2017.002_201005.tar.gz"
0,453107,39,"2010/RW2017.002_201005.tar.gz"
0,454429,39,"2010/RW2017.002_201005.tar.gz"
0,454430,39,"2010/RW2017.002_201005.tar.gz"
0,454431,39,"2010/RW2017.002_201005.tar.gz"
0,454433,39,"2010/RW2017.002_201005.tar.gz"
0,455754,39,"2010/RW2017.002_201005.tar.gz"
0,455756,39,"2010/RW2017.002_201005.tar.gz"
0,457080,39,"2010/RW2017.002_201005.tar.gz"
0,457082,39,"2010/RW2017.002_201005.tar.gz"
0,457083,39,"2010/RW2017.002_201005.tar.gz"
0,457085,39,"2010/RW2017.002_201005.tar.gz"
0,422602,40,"2010/RW2017.002_201005.tar.gz"
0,422604,40,"2010/RW2017.002_201005.tar.gz"
0,422606,40,"2010/RW2017.002_201005.tar.gz"
0,422607,40,"2010/RW2017.002_201005.tar.gz"
0,423929,40,"2010/RW2017.002_201005.tar.gz"
0,423930,40,"2010/RW2017.002_201005.tar.gz"
0,423932,40,"2010/RW2017.002_201005.tar.gz"
0,423928,40,"2010/RW2017.002_201005.tar.gz"
0,423931,40,"2010/RW2017.002_201005.tar.gz"
0,423933,40,"2010/RW2017.002_201005.tar.gz"
0,425254,40,"2010/RW2017.002_201005.tar.gz"
0,425256,40,"2010/RW2017.002_201005.tar.gz"
0,425258,40,"2010/RW2017.002_201005.tar.gz"
0,425260,40,"2010/RW2017.002_201005.tar.gz"
0,453102,40,"2010/RW2017.002_201005.tar.gz"
0,453103,40,"2010/RW2017.002_201005.tar.gz"
