"x"
"Nomada panzeri"
"Nomada roberjeotiana"
"Nomada ruficornis"
"Nomada rufipes"
"Nomada sheppardana"
"Nomada signata"
"Nomada stigma"
"Nomada striata"
"Nomada succincta"
"Nomada zonata"
"Osmia adunca"
"Osmia anthocopoides"
"Osmia aurulenta"
"Osmia bicolor"
"Osmia bicornis"
"Osmia brevicornis"
"Osmia caerulescens"
"Osmia campanularum"
"Osmia cantabrica"
"Osmia claviventris"
"Osmia cornuta"
"Osmia crenulata"
"Osmia florisomnis"
"Osmia leaiana"
"Osmia leucomelana"
"Osmia niveata"
"Osmia parietina"
"Osmia rapunculi"
"Osmia ravouxi"
"Osmia spinulosa"
"Osmia tridentata"
"Osmia truncorum"
"Osmia uncinata"
"Panurgus banksianus"
"Panurgus calcaratus"
"Rophites quinquespinosus"
"Rophitoides canus"
"Sphaecodes miniatus"
"Sphecodes albilabris"
"Sphecodes crassus"
"Sphecodes croaticus"
"Sphecodes ephippius"
"Sphecodes ferruginatus"
"Sphecodes geoffrellus"
"Sphecodes gibbus"
"Sphecodes hyalinatus"
"Sphecodes longulus"
"Sphecodes majalis"
"Sphecodes marginatus"
"Sphecodes miniatus"
"Sphecodes monilicornis"
"Sphecodes pellucidus"
"Sphecodes puncticeps"
"Sphecodes rubicundus"
"Sphecodes rufiventris"
"Sphecodes scabricollis"
"Sphecodes spinulosus"
"Stelis breviuscula"
"Stelis odontopyga"
"Stelis ornatula"
"Stelis punctulatissima"
"Xylocopa violacea"
